crop,d_cover,d_roads,animal_id,use,roaddist,BinRoad,NewDate,Season,cropnew,std_cover,std_roads
1,234.3074903,240,647572A,1,241.8136734,200-400,10/30/2011 0:00,winter2012,1,1.15169639,-0.437974266
1,339.411255,560.4462508,647572A,1,577.2936398,600-800,10/30/2011 3:00,winter2012,1,1.988890408,0.579520216
2,268.3281573,218.4032967,647572A,1,233.7380306,200-400,10/30/2011 6:00,winter2012,1,1.42268477,-0.506549031
1,241.8677324,313.2091953,647572A,1,329.0853597,200-400,10/30/2011 9:00,winter2012,1,1.211916778,-0.205517334
2,283.019434,180,647572A,1,194.6514657,200-400,10/30/2011 12:00,winter2012,1,1.539706733,-0.628488802
4,0,150,647572A,1,164.3066718,0-200,10/30/2011 15:00,winter2012,2,-0.714657587,-0.72374607
4,0,228.4731932,647572A,1,241.770863,200-400,10/30/2011 18:00,winter2012,2,-0.714657587,-0.47457467
1,94.86832981,30,647572A,1,17.86823209,0-200,10/30/2011 21:00,winter2012,1,0.04100705,-1.104775143
5,30,270,647572A,1,274.422824,200-400,10/31/2011 0:00,winter2012,3,-0.475695447,-0.342716997
5,313.2091953,240,647572A,1,254.3881072,200-400,10/31/2011 3:00,winter2012,3,1.780180399,-0.437974266
1,42.42640687,30,647572A,1,38.3499982,0-200,10/31/2011 6:00,winter2012,1,-0.376714088,-1.104775143
5,123.6931688,90,647572A,1,76.71514974,0-200,10/31/2011 9:00,winter2012,3,0.270608557,-0.914260606
5,30,94.86832981,647572A,1,100.7461637,0-200,10/31/2011 12:00,winter2012,3,-0.475695447,-0.89880248
2,30,256.3201124,647572A,1,278.0863302,200-400,10/31/2011 15:00,winter2012,1,-0.475695447,-0.386153955
4,0,284.6049894,647572A,1,282.2961776,200-400,10/31/2011 18:00,winter2012,2,-0.714657587,-0.296342618
4,0,189.7366596,647572A,1,214.4478217,200-400,10/31/2011 21:00,winter2012,2,-0.714657587,-0.597572549
2,67.08203932,241.8677324,647572A,1,270.5241998,200-400,11/1/2011 0:00,winter2012,1,-0.180321998,-0.432043763
2,84.85281374,60,647572A,1,56.88994004,0-200,11/1/2011 3:00,winter2012,1,-0.038770589,-1.009517874
1,150,180,647572A,1,192.6072431,200-400,11/1/2011 6:00,winter2012,1,0.480153113,-0.628488802
4,0,180,647572A,1,185.5803507,0-200,11/1/2011 9:00,winter2012,2,-0.714657587,-0.628488802
1,150,210,647572A,1,222.8204436,200-400,11/1/2011 12:00,winter2012,1,0.480153113,-0.533231534
5,30,270,647572A,1,284.8186247,200-400,11/1/2011 15:00,winter2012,3,-0.475695447,-0.342716997
5,42.42640687,300,647572A,1,291.8866891,200-400,11/1/2011 18:00,winter2012,3,-0.376714088,-0.247459729
5,30,300,647572A,1,302.4091854,200-400,11/1/2011 21:00,winter2012,3,-0.475695447,-0.247459729
