CatID,Sex,Age,ReprodStat,Season,Photoperiod,DateGMT,TimeGMT,DateTimeET,DateTimeET2,DateET2,TIMEET2,TTF,Zone,X,Y
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060417 2304,2006 4 17,2304,NA,17,499131.4902,2905784.753
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060418 603,2006 4 18,603,NA,17,499136.667,2905679.934
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060418 1303,2006 4 18,1303,NA,17,499287.4589,2905840.836
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060418 2003,2006 4 18,2003,NA,17,499315.0022,2905865.061
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060419 303,2006 4 19,303,NA,17,498103.7618,2905553.393
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060419 1003,2006 4 19,1003,NA,17,500546.4985,2905338.578
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060419 1703,2006 4 19,1703,NA,17,500384.6048,2906367.504
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060420 003,2006 4 19,3,NA,17,499293.9505,2905907.322
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060420 703,2006 4 20,703,NA,17,499217.3251,2905935.576
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060420 1404,2006 4 20,1404,NA,17,499262.5695,2905868.666
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060420 2104,2006 4 20,2104,NA,17,497410.5628,2907175.088
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060421 403,2006 4 21,403,NA,17,501569.5653,2906328.318
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060421 1103,2006 4 21,1103,NA,17,499247.4067,2905992.664
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060421 1803,2006 4 21,1803,NA,17,498199.2997,2905870.459
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060422 103,2006 4 22,103,NA,17,496521.5718,2905383.414
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060422 1503,2006 4 22,1503,NA,17,498163.1554,2905718.324
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060422 2204,2006 4 22,2204,NA,17,496611.1495,2905059.87
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060423 503,2006 4 23,503,NA,17,496551.9792,2905436.19
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060423 1903,2006 4 23,1903,NA,17,496587.3187,2905102.38
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060424 203,2006 4 24,203,NA,17,496537.2639,2905073.536
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060424 2303,2006 4 24,2303,NA,17,497863.6962,2905684.663
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060425 2003,2006 4 25,2003,NA,17,497802.0165,2905572.138
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060426 303,2006 4 26,303,NA,17,497644.374,2905714.889
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060426 1703,2006 4 26,1703,NA,17,498026.7601,2904902.387
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060427 003,2006 4 26,3,NA,17,499833.1229,2904553.82
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060427 2103,2006 4 27,2103,NA,17,498336.0276,2905517.373
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060428 403,2006 4 28,403,NA,17,498363.2398,2905740.772
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060428 1804,2006 4 28,1804,NA,17,500081.256,2904753.992
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060429 103,2006 4 29,103,NA,17,500222.9426,2904867.497
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060429 804,2006 4 29,804,NA,17,498063.3702,2905905.411
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060429 1504,2006 4 29,1504,NA,17,498136.4021,2905590.652
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060430 503,2006 4 30,503,NA,17,496809.4986,2903801.292
121,F,A,2,DRY,NIGHT,NA,NA,2.00605E+11,20060501 203,2006 5 1,203,NA,17,497818.8245,2905306.682
121,F,A,2,DRY,DAY,NA,NA,2.00605E+11,20060501 904,2006 5 1,904,NA,17,497112.5331,2903660.418
